광역시도,시군구,count
강원특별자치도,춘천시,26
강원특별자치도,원주시,25
강원특별자치도,강릉시,15
강원특별자치도,동해시,4
강원특별자치도,삼척시,3
강원특별자치도,속초시,2
강원특별자치도,횡성군,2
강원특별자치도,고성군,1
강원특별자치도,영월군,1
강원특별자치도,태백시,1
강원특별자치도,평창군,1
경상남도,진주시,27
경상남도,창원시,26
경상남도,김해시,20
경상남도,양산시,9
경상남도,거창군,2
경상남도,거제시,1
경상남도,남해군,1
경상남도,사천시,1
경상북도,경산시,49
경상북도,경주시,19
경상북도,포항시,16
경상북도,구미시,14
경상북도,안동시,7
경상북도,영주시,6
경상북도,김천시,5
경상북도,영천시,2
경상북도,칠곡군,2
경상북도,고령군,1
경상북도,문경시,1
경상북도,상주시,1
경상북도,예천군,1
광주광역시,북구,29
광주광역시,광산구,19
광주광역시,남구,15
광주광역시,동구,14
대구광역시,북구,18
대구광역시,남구,16
대구광역시,중구,13
대구광역시,달서구,12
대구광역시,달성군,2
대구광역시,동구,1
대구광역시,서구,1
대구광역시,수성구,1
대전광역시,유성구,38
대전광역시,서구,33
대전광역시,대덕구,16
대전광역시,동구,13
대전광역시,중구,5
부산광역시,금정구,24
부산광역시,남구,23
부산광역시,영도구,16
부산광역시,사상구,15
부산광역시,부산진구,14
부산광역시,서구,10
부산광역시,해운대구,9
부산광역시,사하구,5
부산광역시,연제구,4
부산광역시,북구,2
부산광역시,기장군,1
세종특별자치시,장군,1
울산광역시,남구,8
울산광역시,울주군,4
울산광역시,동구,1
울산광역시,중구,1
전라남도,무안군,10
전라남도,나주시,9
전라남도,순천시,9
전라남도,광양시,6
전라남도,목포시,5
전라남도,여수시,4
전라남도,영암군,3
전라남도,곡성군,1
전라남도,담양군,1
전라남도,영광군,1
전북특별자치도,전주시,36
전북특별자치도,익산시,17
전북특별자치도,완주군,15
전북특별자치도,군산시,9
전북특별자치도,남원시,5
전북특별자치도,임실군,4
전북특별자치도,김제시,1
전북특별자치도,정읍시,1
제주특별자치도,제주시,25
제주특별자치도,서귀포시,1
충청남도,천안시,37
충청남도,아산시,32
충청남도,공주시,12
충청남도,서산시,10
충청남도,금산군,6
충청남도,논산시,6
충청남도,부여군,4
충청남도,홍성군,4
충청남도,당진시,1
충청남도,보령시,1
충청남도,예산군,1
충청남도,청양군,1
충청북도,청주시,40
충청북도,충주시,10
충청북도,제천시,8
충청북도,음성군,7
충청북도,괴산군,6
충청북도,영동군,2
충청북도,옥천군,1
