학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,주소_clean,sido,sigungu,카운트지역
강원대학교 경영대학원,Kangwon National University Graduate School Of Business Administration,본교,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,gsba.kangwon.ac.kr/,033-250-6100,033-259-5530,1979-12-05,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 교육대학원,Kangwon National University Graduate School Of Education,본교,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,edugradu.kangwon.ac.kr/,033-250-6607,033-259-5590,1978-12-30,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 녹색생명산업정책대학원,Graduate School Of Green And Life Industry Policy,본교,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,glip.kangwon.ac.kr,033-250-8600,033-259-5556,2012-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 방재전문대학원,Kangwon National University Graduate School Of  Disaster Prevention,제2캠퍼,대학원,전문대학원,국립,51,강원특별자치도,강원특별자치도 삼척시 중앙로 346 (교동),,25913,,prevention.kangwon.ac.kr/,033-570-6468,033-570-6501,2006-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 삼척시 중앙로 346,강원특별자치도,삼척시,삼척시
강원대학교 법무전문대학원,Graduate School Of Law,본교,대학원,전문대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,www.kangwonlaw.ac.kr/,033-250-6510,033-259-5683,2009-03-02,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 법학전문대학원,Kangwon National University School Of Law,본교,대학원,전문대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,law.kangwon.ac.kr/,033-250-6510,033-259-5683,2009-03-02,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 산업과학대학원,Kangwon National University The Graduate School Of Industry & Science,제2캠퍼,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 삼척시 중앙로 346 (교동),,25913,,college.kangwon.ac.kr/industry/main.jsp,033-570-6502,033-570-6501,2006-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 삼척시 중앙로 346,강원특별자치도,삼척시,삼척시
강원대학교 산업대학원,Kangwon National University Graduate School Of Lndustry,본교,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,gsi.kangwon.ac.kr/,033-250-6209,033-259-5540,1991-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 의학전문대학원,Kangwon National University School Of Medicine,본교,대학원,전문대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,smed.kangwon.ac.kr/,033-250-8802,033-259-5635,2008-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 일반대학원,Kangwon National University Graduate School,본교,대학원,일반대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,graduate.kangwon.ac.kr/,033-250-8993,033-259-5527,1968-01-10,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
