학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,주소_clean,sido,sigungu,카운트지역
강원대학교 경영대학원,Kangwon National University Graduate School Of Business Administration,본교,대학원,특수대학원,국립,51,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,gsba.kangwon.ac.kr/,033-250-6100,033-259-5530,1979-12-05,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 춘천시 강원대학길 1,강원특별자치도,춘천시,춘천시
강원대학교 방재전문대학원,Kangwon National University Graduate School Of  Disaster Prevention,제2캠퍼,대학원,전문대학원,국립,51,강원특별자치도,강원특별자치도 삼척시 중앙로 346 (교동),,25913,,prevention.kangwon.ac.kr/,033-570-6468,033-570-6501,2006-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 삼척시 중앙로 346,강원특별자치도,삼척시,삼척시
가톨릭관동대학교 경영행정 창업대학원,"Graduate School Of Business, Public Administration Start up Catholic Kwandong University",본교,대학원,특수대학원,사립,51,강원특별자치도,강원특별자치도 강릉시 범일로579번길 24 (내곡동),,25601,,www.cku.ac.kr,033-649-7172,033-649-7164,2021-03-01,2024,2025-01-08,B340014,한국대학교육협의회,강원특별자치도 강릉시 범일로579번길 24,강원특별자치도,강릉시,강릉시
가톨릭꽃동네대학교 대학원,Catholic Kkottongnae University Graduate School,본교,대학원,일반대학원,사립,43,충청북도,충청북도 청주시 서원구 현도면 상삼길 133,,28211,,,043-270-0131,043-270-0165,2023-01-01,2024,2025-01-08,B340014,한국대학교육협의회,충청북도 청주시 서원구 현도면 상삼길 133,충청북도,청주시,청주시
한국폴리텍 VI 대학 구미캠퍼스,Gumi Campus Of Korea Polytechnic Vi,본교,전문대학,기능대학,사립,47,경상북도,"경상북도 구미시 수출대로3길 84 (공단동, 한국폴리텍ⅵ대학구미캠퍼스)",,39257,,kopo.ac.kr/gumi,054-461-5241,054-464-2098,1977-05-06,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 구미시 수출대로3길 84,경상북도,구미시,구미시
한국폴리텍 VI 대학 대구캠퍼스,Daegu Campus Of Korea Polytechnic Vi,본교,전문대학,기능대학,사립,27,대구광역시,"대구광역시 서구 국채보상로43길 15 (평리동, 한국폴리텍6대학)",,41765,,daegu.kopo.ac.kr,053-560-3131,053-560-3148,1973-01-01,2024,2025-01-08,B340014,한국대학교육협의회,대구광역시 서구 국채보상로43길 15,대구광역시,서구,대구광역시
한국폴리텍 VI 대학 영남융합기술캠퍼,Yeongnam Convergence Technology Campus Of Korea Polytechnic,본교,전문대학,기능대학,사립,27,대구광역시,대구광역시 동구 팔공로 222(봉무동),,41027,,kopo.ac.kr/yct,053-980-1100,053-980-1129,1998-02-05,2024,2025-01-08,B340014,한국대학교육협의회,대구광역시 동구 팔공로 222,대구광역시,동구,대구광역시
한국폴리텍 VI 대학 영주캠퍼스,Yeongju Campus Of Korea Polytechnic Ⅵ,본교,전문대학,기능대학,사립,47,경상북도,"경상북도 영주시 가흥로 2 (문정동, 한국폴리텍VI대학)",,36142,,www.kopo.ac.kr/yeongju,054-639-4218,054-632-2098,1982-02-15,2024,2025-01-08,B340014,한국대학교육협의회,경상북도 영주시 가흥로 2,경상북도,영주시,영주시
한국폴리텍 VII 대학 동부산캠퍼스,Korea Polytechnics Dongbusan Campus,본교,전문대학,기능대학,사립,26,부산광역시,부산광역시 기장군 정관읍 산단4로 2-69,,46027,,www.kopo.ac.kr/dongbusan,051-609-6000,051-728-5586,,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 기장군 정관읍 산단4로 2-69,부산광역시,기장군,부산광역시
한국폴리텍 VII 대학 부산캠퍼스,Busan Campus Of Korea Polytechnic Ⅶ,본교,전문대학,기능대학,사립,26,부산광역시,"부산광역시 북구 만덕대로155번길 99 (덕천동, 한국폴리텍VII대학부산캠퍼스)",,46550,,www.kopo.ac.kr/busan,051-330-7800,051-332-4801,1978-04-10,2024,2025-01-08,B340014,한국대학교육협의회,부산광역시 북구 만덕대로155번길 99,부산광역시,북구,부산광역시
